epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.78962,1.04921,3.12549,1.0415,0.00373,1,0.2553,0.25369,0.2826,3.22404,0.86483,0,0,0
2,2.45293,0.86189,3.17974,1.01057,0.00367,1,0.25981,0.2587,0.26659,3.21883,0.85997,1.6505e-05,1.6505e-05,1.6505e-05
3,2.90435,1.23389,3.34764,1.18606,0.00362,1,0.27363,0.27114,0.22454,3.21707,0.85504,3.26799e-05,3.26799e-05,3.26799e-05
4,3.33689,0.86227,3.08361,0.99329,0.00356,1,0.31982,0.31271,0.16756,3.20789,0.85127,4.85247e-05,4.85247e-05,4.85247e-05
5,3.74932,0.87896,3.13414,0.96528,0.00344,1,0.41458,0.398,0.12997,3.21344,0.84503,6.40395e-05,6.40395e-05,6.40395e-05
6,4.12279,0.64831,2.89951,0.99819,0.00335,1,0.74625,0.74625,0.13246,3.21756,0.85411,7.92242e-05,7.92242e-05,7.92242e-05
7,4.49221,0.63053,2.89158,0.83134,0.00335,1,0.74625,0.74625,0.1812,3.23128,0.85268,9.40788e-05,9.40788e-05,9.40788e-05
8,4.85521,0.61926,2.90888,0.82562,0.0035,1,0.74625,0.74625,0.24202,3.221,0.85558,0.000108603,0.000108603,0.000108603
9,5.22103,0.48928,2.58795,0.89201,0.00356,1,0.74625,0.74625,0.25809,3.22348,0.86131,0.000122798,0.000122798,0.000122798
10,5.59615,0.4054,2.78141,0.85721,0.00357,1,0.74625,0.74625,0.26561,3.22448,0.8554,0.000136662,0.000136662,0.000136662
11,6.06192,0.43375,2.57939,0.75186,0.00357,1,0.74625,0.74625,0.25044,3.21653,0.84506,0.000150197,0.000150197,0.000150197
12,6.42408,0.39731,2.34411,0.8458,0.00366,1,0.995,0.995,0.22705,3.19489,0.83994,0.000163401,0.000163401,0.000163401
13,6.78168,0.45056,2.41117,0.82041,0.00367,1,0.74625,0.74625,0.17841,3.18722,0.83473,0.000176275,0.000176275,0.000176275
14,7.14397,0.43554,2.38513,0.82059,0.00366,1,0.74625,0.74625,0.14949,3.17858,0.8307,0.000188819,0.000188819,0.000188819
