epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.96423,1.62224,5.85939,1.08796,0.00499,0.4125,0.21037,0.14521,1.28823,4.49931,0.96908,0.0004125,0.0004125,0.0004125
2,14.3568,1.65194,5.63611,1.09585,0.8044,0.31671,0.27138,0.16599,1.62436,3.63347,1.05475,0.000820958,0.000820958,0.000820958
3,22.5462,1.65251,5.24788,1.09577,0.66612,0.26804,0.27292,0.17618,1.39358,4.00801,1.03902,0.00122117,0.00122117,0.00122117
4,29.3012,1.63219,4.65631,1.14198,0.52116,0.54883,0.34158,0.17635,1.396,3.37972,1.06525,0.00121287,0.00121287,0.00121287
5,36.1004,1.56723,5.08838,1.09174,0.48631,0.55139,0.42143,0.24644,1.41009,3.30302,1.15485,0.0012005,0.0012005,0.0012005
6,42.5387,1.57265,4.50882,1.09232,0.45106,0.55639,0.43653,0.27972,1.36204,2.97523,1.08638,0.00118812,0.00118812,0.00118812
7,49.27,1.61497,4.26943,1.12502,0.50604,0.48472,0.51891,0.30252,1.39428,3.42352,1.12604,0.00117575,0.00117575,0.00117575
8,57.3565,1.60363,4.08926,1.13635,0.52867,0.61035,0.59038,0.31766,1.40609,2.91707,1.12663,0.00116337,0.00116337,0.00116337
9,63.9126,1.55042,3.69404,1.11382,0.54752,0.62478,0.54242,0.30561,1.51175,2.94574,1.13434,0.001151,0.001151,0.001151
10,70.2828,1.4895,3.87428,1.06379,0.54831,0.51734,0.53458,0.30911,1.46323,2.63734,1.10309,0.00113863,0.00113863,0.00113863
11,76.8063,1.4623,3.85878,1.06734,0.6113,0.58712,0.58055,0.36415,1.29533,2.54165,1.03241,0.00112625,0.00112625,0.00112625
12,85.0855,1.45641,3.90756,1.01448,0.52081,0.61686,0.57865,0.33767,1.33383,2.70293,1.03553,0.00111388,0.00111388,0.00111388
13,91.8946,1.51465,3.09737,1.07742,0.51588,0.71862,0.60302,0.35705,1.33355,2.5815,1.0427,0.0011015,0.0011015,0.0011015
14,98.459,1.46718,3.09354,1.05554,0.62455,0.73441,0.6114,0.37654,1.29104,2.38505,1.03751,0.00108913,0.00108913,0.00108913
15,105.142,1.54597,3.38112,1.07859,0.67925,0.74006,0.62267,0.36341,1.26583,2.46626,1.04435,0.00107675,0.00107675,0.00107675
16,111.994,1.49714,3.72104,1.0689,0.54893,0.70707,0.61109,0.34396,1.40622,2.87887,1.07333,0.00106437,0.00106437,0.00106437
17,121.083,1.51888,3.05735,1.05781,0.55082,0.65556,0.59566,0.35581,1.36506,2.54983,1.0656,0.001052,0.001052,0.001052
18,127.93,1.47893,3.34934,1.04072,0.59292,0.73509,0.65775,0.44317,1.26717,2.27141,1.04984,0.00103962,0.00103962,0.00103962
19,134.853,1.44223,2.93664,1.07667,0.54143,0.74583,0.64964,0.43794,1.227,2.80657,1.03614,0.00102725,0.00102725,0.00102725
20,141.607,1.45016,3.197,1.02188,0.57021,0.70417,0.68777,0.4639,1.23999,2.14726,1.03509,0.00101488,0.00101488,0.00101488
21,148.301,1.42526,2.8153,1.01721,0.69977,0.63266,0.68707,0.48213,1.2485,2.01305,1.04216,0.0010025,0.0010025,0.0010025
22,156.329,1.39529,2.83811,1.04617,0.7327,0.7433,0.71189,0.49842,1.18327,2.03846,1.01822,0.000990125,0.000990125,0.000990125
23,163.042,1.46644,2.68112,1.04881,0.72994,0.71466,0.752,0.47014,1.20895,1.98367,1.00783,0.00097775,0.00097775,0.00097775
24,169.736,1.46645,2.34511,1.02514,0.76415,0.67503,0.74972,0.47709,1.25139,1.88744,1.01532,0.000965375,0.000965375,0.000965375
25,176.355,1.43569,2.24006,1.08532,0.61399,0.72069,0.72694,0.41232,1.3287,2.0339,1.04318,0.000953,0.000953,0.000953
